CODE,TITLE,TERM,CAREER,DELIVERY,STUDENT,TEACHER
BUSN0011,Course BUSN0011,Semester 2,Postgraduate,Online,u0000724 u0000868 u0000677 u0000754 u0001983 u0001168 u0000407 u0000618 u0000981 u0001577 u0001532 u0001717 u0001782 u0001573 u0000767 u0001590 u0000408 u0001155 u0001652 u0000348 u0001802 u0000832 u0001795 u0000424 u0001640 u0001574 u0000900 u0000811 u0001023 u0000175 u0000152 u0001961 u0000481 u0000889 u0001366 u0001696 u0001847 u0000065 u0001150 u0000628 u0001956 u0001466 u0001021 u0000885 u0000727 u0000936 u0001153 u0001563 u0000136 u0001474 u0000186 u0000004 u0000028 u0001051 u0000312 u0001816 u0000645 u0001303 u0001518 u0000874 u0001412 u0000111 u0000123 u0000447 u0001285 u0001491 u0001941 u0001309 u0001511 u0001682 u0001169 u0001646 u0001467 u0000704 u0001807 u0000756 u0001865 u0000214 u0000100 u0001751 u0000924 u0001678 u0001806 u0000891 u0001951 u0000279 u0001824 u0000327 u0001818 u0001923 u0001820,u0002011
MATH0012,Course MATH0012,Semester 2,Postgraduate,Blended,u0000343 u0001455 u0000068 u0001569 u0001151 u0000492 u0001477 u0000617 u0001400 u0001163 u0001715 u0000698 u0000216 u0000094 u0000532 u0000564 u0001764 u0000418 u0000387 u0001392 u0001008 u0001026,u0002012
COMP0013,Course COMP0013,Autumn,Postgraduate,Blended,u0000332 u0001690 u0000395 u0001365 u0000865 u0000350 u0001487 u0000974 u0000378 u0000178 u0000995 u0001345 u0000829 u0001151 u0000443 u0001361 u0000013 u0000817 u0001709 u0001067 u0000776 u0001257 u0000918 u0000051 u0001009 u0000785 u0000896 u0000210 u0001644 u0000678 u0001100 u0001049 u0000541 u0000351 u0001518 u0000321 u0001063 u0000072 u0001590 u0000984 u0000227 u0000043 u0000635 u0000875 u0000863 u0000938 u0000487 u0001924 u0000867 u0001753 u0001076 u0000086 u0000337 u0000444 u0001763 u0000293 u0001136 u0001126 u0001835 u0001037 u0000897 u0001929 u0001820 u0001062,u0002013
BIOL0014,Course BIOL0014,Spring,Undergraduate,Blended,u0000254 u0001273 u0001950 u0000188 u0000195 u0001780 u0001168 u0001549 u0001520 u0001670 u0001887 u0000466 u0001139 u0001443 u0001018 u0001371 u0001232 u0001964 u0000338 u0001882 u0001173 u0000884 u0001277 u0000786 u0001814 u0000262 u0000913 u0001536 u0000696 u0001685 u0000676 u0001358 u0001253 u0001899 u0000688 u0001170 u0001636 u0001280 u0000281 u0000692 u0001320 u0000280 u0000519 u0001830 u0001017 u0000695 u0001113 u0000828 u0000119 u0000079 u0001274 u0000647 u0001097 u0000114 u0000757 u0000643 u0001428 u0001238 u0000074 u0000918 u0000822 u0000304 u0000232 u0000382 u0000154 u0000436 u0000737 u0001377 u0000858 u0000095 u0000659 u0001687 u0000129 u0000834 u0001395 u0000053 u0001969 u0001994 u0000658 u0001752 u0000248 u0000756 u0000522 u0000681 u0000118 u0000989 u0000914 u0001832 u0001987 u0000432 u0001076 u0000527 u0001210,u0002014
MGMT0015,Course MGMT0015,Autumn,Undergraduate,Blended,u0001319 u0001957 u0000974 u0000890 u0000839 u0000983 u0001120 u0000580 u0000485 u0001532 u0000418 u0000251 u0000767 u0001963 u0000954 u0001222 u0001443 u0000424 u0000765 u0000739 u0001574 u0001399 u0001745 u0000467 u0000112 u0001233 u0001194 u0000152 u0001035 u0001057 u0000144 u0000571 u0000515 u0001260 u0001451 u0001975 u0000364 u0001150 u0001113 u0000006 u0001921 u0000899 u0000026 u0001251 u0001748 u0001235 u0000612 u0001385 u0001726 u0000041 u0000595 u0000570 u0001715 u0000186 u0001864 u0000198 u0000110 u0000313 u0000810 u0001491 u0000674 u0001905 u0000788 u0001886 u0000067 u0001804 u0000336 u0000053 u0000054 u0000669 u0000033 u0001437 u0000354 u0000113 u0001341 u0001968 u0001592 u0000681 u0000780 u0000301 u0001240 u0001241 u0000853 u0001045 u0001751 u0001460 u0001020 u0000363 u0000770 u0001091 u0001473 u0000986 u0001105 u0000187 u0000272,u0002015
HIST0016,Course HIST0016,Semester 2,Undergraduate,Blended,u0001405 u0001966 u0001613 u0001857 u0001300 u0001555 u0000097 u0001389 u0000501 u0001487 u0001563 u0001123 u0000105 u0000229 u0000929 u0000030 u0000047 u0000723 u0000135 u0001182 u0001000 u0001453 u0000617 u0000837 u0000061 u0001676 u0000248 u0001965 u0001683 u0000002 u0000981 u0001624 u0000066 u0000740 u0000214 u0001124 u0001532 u0000085 u0000703 u0000693 u0001082 u0001252 u0000251 u0001612 u0000088 u0001853 u0001029 u0001066 u0000370 u0000107 u0000383 u0000925 u0001148 u0000389 u0000380 u0001883 u0001275 u0001435 u0001065 u0000193 u0001725 u0000748 u0000087 u0001574 u0001991 u0001489 u0001516 u0000079 u0001908 u0000844 u0001721 u0001444,u0002016
CHEM0017,Course CHEM0017,Summer,Postgraduate,Online,u0000458 u0001716 u0001791 u0000375 u0000405 u0001649 u0000621 u0001119 u0000617 u0000014 u0001766 u0001067 u0001286 u0001520 u0001863 u0000693 u0001034 u0001675 u0000380 u0000954 u0001574 u0000973 u0001156 u0001613 u0000884 u0000608 u0001268 u0000696 u0000889 u0001858 u0001479 u0001085 u0000133 u0001320 u0001667 u0000300 u0000120 u0000423 u0001663 u0000086 u0000297 u0000205 u0001580 u0001630 u0001365 u0001073 u0000999 u0000438 u0000249 u0001606 u0001476 u0001163 u0001427 u0000806 u0001559 u0000645 u0000116 u0000505 u0001986 u0001611 u0000172 u0000457 u0001543 u0001598 u0001955 u0001835 u0001862 u0001101 u0000501 u0001664 u0001822 u0000108 u0001467 u0000769 u0000704 u0000629 u0000153 u0000607 u0000794 u0000878 u0001290 u0000433 u0001480 u0001751 u0000163 u0000303 u0000605 u0000801 u0001071 u0000493 u0000401,u0002017
MGMT0018,Course MGMT0018,Winter,Postgraduate,On Campus,u0000299 u0001293 u0000195 u0000229 u0001825 u0001739 u0001526 u0001164 u0001143 u0000650 u0001717 u0000251 u0000043 u0001139 u0000021 u0000568 u0000805 u0001725 u0001482 u0000502 u0001345 u0001446 u0000929 u0000571 u0000515 u0000392 u0000233 u0000431 u0000694 u0001492 u0000280 u0001667 u0001525 u0001227 u0000446 u0001561 u0001046 u0001466 u0000949 u0001757 u0000079 u0001553 u0001097 u0001580 u0001609 u0000478 u0001584 u0000469 u0000443 u0001138 u0000556 u0001746 u0000888 u0000732 u0000992 u0001116 u0000181 u0000382 u0000541 u0000810 u0001518 u0001167 u0001506 u0001196 u0000562 u0001059 u0001024 u0000379 u0001405 u0001770 u0001301 u0001784 u0001603 u0000242 u0001397 u0000769 u0000861 u0000808 u0000629 u0000510 u0000476 u0000945 u0000444 u0001832 u0000311 u0000524 u0001091 u0000127 u0001433 u0000192 u0001193 u0000037,u0002018
COMP0019,Course COMP0019,Semester 2,Undergraduate,Online,u0000760 u0001976 u0000020 u0001544 u0001414 u0000117 u0001332 u0001389 u0001455 u0001925 u0000590 u0001456 u0000766 u0001827 u0000378 u0001345 u0000823 u0001485 u0000462 u0001998 u0000997 u0000264 u0001606 u0000571 u0000439 u0000496 u0000513 u0000463 u0001366 u0001766 u0001983 u0001168 u0001828 u0001939 u0001559 u0000601 u0000645 u0000989 u0001201 u0000716 u0000091 u0000742 u0000650 u0000131 u0000227 u0001848 u0001068 u0001610 u0000398 u0001192 u0001454 u0000792 u0000259 u0001725 u0000867 u0000060 u0000783 u0000730 u0001991 u0001919 u0001949 u0001084,u0002019
HIST0020,Course HIST0020,Semester 1,Undergraduate,Blended,u0001021 u0000141 u0001505 u0000906 u0001516 u0000884 u0000179 u0000045 u0001433 u0000980 u0001437 u0001645 u0000583 u0001059 u0001157 u0000178 u0000922 u0000203 u0000768 u0001325 u0001643 u0000285 u0001069 u0001500 u0000698 u0000618 u0000579 u0001855 u0001120 u0000661 u0000028 u0001811 u0000894 u0000764 u0000927 u0001666 u0001312 u0000300 u0001244 u0001462 u0001452 u0000831 u0000258 u0001594 u0001889 u0001523 u0000950 u0000695 u0000654 u0001940 u0000166 u0000021 u0000204 u0001271 u0001535 u0000099 u0001795 u0001941 u0000486 u0001574 u0000155 u0001160 u0000208 u0001831 u0000686 u0001165 u0001929 u0000926,u0002020
LAWS0021,Course LAWS0021,Winter,Undergraduate,Online,u0001778 u0000317 u0001073 u0000283 u0001157 u0000492 u0000929 u0000255 u0000709 u0000061 u0000570 u0000910 u0000607 u0000075 u0000859 u0000966 u0000371 u0001252 u0000488 u0000976 u0001711 u0000899 u0000720,u0002021
BUSN0022,Course BUSN0022,Winter,Undergraduate,On Campus,u0000141 u0001586 u0001522 u0000757 u0001971 u0000846 u0001771 u0000435 u0001784 u0001023 u0001044 u0001736 u0001994 u0000963 u0001867 u0000188 u0000113 u0001157 u0000195 u0000890 u0000823 u0000209 u0000514 u0000898 u0000384 u0001387 u0001605 u0000869 u0000848 u0000407 u0001323 u0001051 u0001375 u0000522 u0001117 u0001655 u0000445 u0000410 u0001124 u0000852 u0001667 u0001034 u0000750 u0000251 u0001803 u0001853 u0000217 u0000223 u0001368 u0000883 u0001995 u0001897 u0000524 u0000702 u0001924 u0001055 u0000099 u0001473 u0001030 u0001103 u0000337 u0000416 u0000293 u0001818 u0000138 u0001210 u0000379,u0002022
LAWS0023,Course LAWS0023,Semester 2,Undergraduate,On Campus,u0000409 u0001273 u0000600 u0001870 u0000378 u0001486 u0001825 u0001485 u0001497 u0001650 u0001520 u0001532 u0000652 u0001612 u0001139 u0000938 u0000832 u0001256 u0001608 u0000549 u0001879 u0000175 u0000502 u0000913 u0001207 u0000244 u0001031 u0000355 u0001130 u0001858 u0000197 u0000649 u0001471 u0001869 u0001922 u0001727 u0001722 u0000679 u0001126 u0001014 u0001931 u0000807 u0000307 u0000829 u0000465 u0000443 u0001219 u0000768 u0000122 u0001334 u0000074 u0001747 u0000631 u0001937 u0001864 u0001944 u0001048 u0000181 u0000154 u0000142 u0001377 u0000208 u0000261 u0000536 u0000164 u0000668 u0000793 u0001808 u0001682 u0000953 u0000543 u0001225 u0001581 u0000288 u0001578 u0001968 u0001109 u0000638 u0000941 u0001792 u0000989 u0001359 u0000853 u0001633 u0001701 u0000400 u0001838 u0001572 u0001076 u0001519 u0000948 u0001108 u0000986 u0000602 u0000187 u0000340 u0000401,u0002023
BIOL0024,Course BIOL0024,Autumn,Undergraduate,Blended,u0000885 u0000847 u0000535 u0001622 u0000979 u0000036 u0001469 u0000442 u0001301 u0001153 u0000651 u0001957 u0000747 u0000456 u0000278 u0001528 u0000070 u0001184 u0000306 u0001159 u0001582 u0000139 u0001486 u0000229 u0000041 u0000658 u0001968 u0000430 u0001272 u0001400 u0001676 u0001605 u0001445 u0001078 u0000607 u0000644 u0001693 u0001655 u0001699 u0001702 u0000425 u0000505 u0000184 u0001413 u0000286 u0001532 u0001116 u0000655 u0000764 u0001440 u0000142 u0000433 u0001853 u0001590 u0000950 u0001594 u0000227 u0000247 u0000683 u0000128 u0000923 u0000737 u0001762 u0000619 u0000628 u0000016 u0001030 u0000940 u0001756 u0001371 u0001955 u0001516,u0002024
PHYS0025,Course PHYS0025,Autumn,Undergraduate,Blended,u0000604 u0001760 u0000317 u0000760 u0001769 u0000884 u0001626 u0001697 u0000106 u0001814 u0000167 u0001957 u0000456 u0000563 u0000833 u0001035 u0001237 u0001401 u0000235 u0000672 u0000575 u0000768 u0001138 u0000931 u0001540 u0000511 u0001828 u0000324 u0000185 u0001304 u0001747 u0000785 u0000631 u0000093 u0000849 u0000870 u0001164 u0001811 u0000992 u0000633 u0001154 u0001244 u0000650 u0001758 u0001246 u0001128 u0000541 u0001348 u0001148 u0000466 u0000247 u0000447 u0001940 u0001155 u0000361 u0000619 u0000376 u0001886 u0000533 u0000717 u0000086 u0001596 u0001146 u0001623 u0001818 u0001362 u0001835 u0001516 u0001015 u0001908 u0000721,u0002025
CHEM0026,Course CHEM0026,Semester 2,Undergraduate,Online,u0001628 u0000608 u0001033 u0000651 u0001293 u0000980 u0001345 u0000791 u0001151 u0001649 u0001618 u0001000 u0000384 u0001752 u0001606 u0001387 u0000525 u0001434 u0000574 u0001411 u0000918 u0000785 u0001171 u0001241 u0001143 u0001706 u0001564 u0001932 u0000436 u0000128 u0000548 u0000220 u0001988 u0000040 u0001058 u0000674 u0001046 u0000761 u0001404 u0000119 u0001112 u0000686 u0001247 u0001881 u0000192 u0001062 u0001489 u0001421,u0002026
ENGN0027,Course ENGN0027,Winter,Postgraduate,Online,u0000254 u0000722 u0001658 u0001631 u0000096 u0001734 u0001373 u0000441 u0000195 u0000823 u0001219 u0000571 u0001899 u0000201 u0001625 u0001430 u0000028 u0000374 u0000859 u0001655 u0000656 u0001816 u0000214 u0000372 u0001320 u0001794 u0001936 u0000984 u0001049 u0001228 u0000738 u0000413 u0000107 u0000311 u0001854 u0000055 u0000404 u0000954 u0000363 u0001275 u0001727 u0001473 u0000594 u0000368 u0000034 u0000298 u0000686 u0001729 u0000272 u0001482,u0002027
PHYS0028,Course PHYS0028,Semester 1,Postgraduate,Blended,u0001183 u0000412 u0001169 u0001293 u0001999 u0000211 u0001394 u0001744 u0000837 u0000201 u0000607 u0000476 u0001747 u0000618 u0000453 u0000410 u0000199 u0000646 u0002001 u0000939 u0001303 u0000851 u0000294 u0000050 u0000142 u0000072 u0001980 u0000172 u0000227 u0001017 u0001002 u0001940 u0000040 u0001442 u0001839 u0000962 u0000804 u0001795 u0000432 u0001698 u0001529 u0000892,u0002028
MATH0029,Course MATH0029,Winter,Undergraduate,On Campus,u0001668 u0000159 u0001311 u0001697 u0000865 u0001023 u0000540 u0000974 u0000113 u0000481 u0001388 u0000149 u0000915 u0001605 u0000431 u0001492 u0001864 u0000657 u0000048 u0000100 u0001179 u0000294 u0000970 u0000436 u0000271 u0001680 u0000125 u0001921 u0001180 u0000024 u0001987 u0000628 u0001256 u0001251 u0000215 u0001160,u0002029
COMP0030,Course COMP0030,Summer,Undergraduate,Blended,u0000760 u0001971 u0001428 u0001791 u0000468 u0001837 u0001957 u0001528 u0001123 u0000108 u0001916 u0001817 u0001248 u0000632 u0001485 u0000956 u0000244 u0000700 u0000377 u0001031 u0001344 u0000617 u0000768 u0000512 u0000064 u0001221 u0000448 u0001766 u0000028 u0001070 u0001692 u0000410 u0001292 u0000198 u0001758 u0000703 u0001259 u0000207 u0001701 u0001252 u0000749 u0001830 u0001648 u0001665 u0001261 u0001335 u0000695 u0001525 u0000360 u0001113 u0000125 u0000863 u0000069 u0000887 u0001271 u0000252 u0001708 u0001535 u0000619 u0001018 u0000801 u0000961 u0000385 u0000486 u0000057 u0001108 u0001623 u0001598 u0000137 u0001307 u0001210 u0001077 u0000401,u0002030
MGMT0031,Course MGMT0031,Winter,Undergraduate,Blended,u0001319 u0000943 u0000791 u0001649 u0001283 u0001983 u0000407 u0001357 u0000263 u0000639 u0000652 u0000380 u0001988 u0001725 u0000926 u0000338 u0001879 u0001351 u0000175 u0000105 u0000481 u0001401 u0000197 u0000282 u0000281 u0000133 u0001245 u0001974 u0001599 u0000428 u0001565 u0001417 u0001748 u0000951 u0000442 u0001918 u0001606 u0001447 u0000806 u0000374 u0000798 u0000966 u0000371 u0000894 u0000198 u0001943 u0001386 u0000706 u0000925 u0001167 u0000737 u0000361 u0001984 u0000504 u0000594 u0001835 u0001862 u0001969 u0001603 u0001465 u0000997 u0001509 u0000064 u0000248 u0000287 u0000035 u0000453 u0000066 u0000521 u0000743 u0001958 u0001261 u0000432 u0001732 u0000680 u0000318 u0001516,u0002031
LAWS0032,Course LAWS0032,Semester 1,Postgraduate,Online,u0001291 u0000336 u0000096 u0001389 u0001351 u0000620 u0001296 u0000350 u0000597 u0001867 u0001840 u0000507 u0001253 u0000003 u0001709 u0000476 u0000051 u0001559 u0001585 u0000112 u0000977 u0000599 u0001284 u0000984 u0000914 u0001518 u0001656 u0000101 u0000933 u0001963 u0001943 u0000491 u0000568 u0001924 u0001491 u0001673 u0000432 u0000237 u0001565 u0000213 u0000215 u0001527 u0001081 u0001483 u0000648 u0001580,u0002032
MATH0033,Course MATH0033,Semester 2,Postgraduate,Online,u0001294 u0001959 u0001977 u0000375 u0000651 u0001930 u0001119 u0001069 u0001693 u0001692 u0001970 u0001900 u0000825 u0000655 u0001034 u0000965 u0001851 u0000883 u0000805 u0001036 u0001795 u0001404 u0001570 u0000877 u0001270 u0001867 u0001536 u0000481 u0000243 u0001387 u0001025 u0000958 u0001223 u0000372 u0000364 u0001327 u0001539 u0000277 u0001142 u0000912 u0000423 u0001610 u0000319 u0000310 u0001719 u0001126 u0001278 u0000483 u0000147 u0000306 u0001618 u0001606 u0000644 u0000806 u0000008 u0000181 u0000701 u0001410 u0001094 u0001029 u0000702 u0001435 u0000029 u0001843 u0000283 u0000665 u0001939 u0000855 u0000853 u0001758 u0001701 u0001947 u0000240 u0000461 u0000907 u0001161 u0000486 u0001824 u0000293 u0001557,u0002033
CBEA0034,Course CBEA0034,Summer,Postgraduate,Blended,u0001294 u0001735 u0000885 u0000705 u0000395 u0001299 u0000651 u0000590 u0001810 u0000342 u0001042 u0001720 u0000165 u0000514 u0001344 u0001000 u0000039 u0001463 u0001061 u0001050 u0000076 u0001109 u0000638 u0000028 u0000008 u0001510 u0000918 u0001498 u0001865 u0000580 u0000598 u0000521 u0001811 u0001355 u0000523 u0001860 u0001611 u0001518 u0001390 u0000933 u0000637 u0000218 u0001953 u0000107 u0000398 u0001723 u0000586 u0000427 u0001443 u0001984 u0001039 u0000376 u0000788 u0001204 u0001886 u0001572 u0000060 u0000527 u0000419 u0001251 u0001951 u0001279 u0001719 u0001371 u0000988 u0000948 u0000261 u0000901,u0002034
LAWS0035,Course LAWS0035,Semester 1,Postgraduate,Blended,u0000160 u0001183 u0001931 u0000292 u0001603 u0001385 u0000426 u0000833 u0000354 u0001431 u0001587 u0000145 u0001686 u0000566 u0001509 u0000836 u0000595 u0000392 u0000517 u0000556 u0000886 u0001120 u0001175 u0000780 u0001304 u0001357 u0001526 u0000945 u0001171 u0000673 u0000657 u0001312 u0001037 u0001538 u0001190 u0000585 u0001564 u0000251 u0000819 u0000767 u0001415 u0000258 u0001652 u0001787 u0000080 u0001378 u0001174 u0001161 u0000524 u0000781 u0001614 u0001180 u0000046 u0000363 u0001192 u0001533 u0001561 u0000969 u0000628 u0000376 u0000309 u0001834 u0001823 u0001698 u0001521 u0000215 u0000739 u0001598 u0000034 u0000602 u0000744 u0001908 u0000055 u0001274 u0001580,u0002035
COMP0036,Course COMP0036,Winter,Postgraduate,On Campus,u0001622 u0001597 u0001310 u0001225 u0000291 u0001467 u0001916 u0001431 u0001898 u0000797 u0001872 u0001917 u0001841 u0000567 u0000017 u0000515 u0000525 u0001742 u0000464 u0000607 u0000158 u0001284 u0000678 u0001140 u0000812 u0001410 u0001803 u0000063 u0001499 u0001842 u0000007 u0001948 u0001866 u0001687 u0000827 u0000968 u0000130 u0001719 u0001229 u0000340 u0000926,u0002036
MATH0037,Course MATH0037,Winter,Postgraduate,Blended,u0001845 u0000020 u0000412 u0001969 u0000378 u0000518 u0000791 u0000480 u0000243 u0001660 u0000326 u0001448 u0000584 u0000622 u0001280 u0000813 u0001117 u0001792 u0000649 u0001327 u0000495 u0001410 u0000090 u0000810 u0001853 u0000731 u0001852 u0001884 u0000360 u0001798 u0001637 u0001802 u0000830 u0001765 u0001267 u0000592 u0000337 u0001527 u0000484 u0001773 u0001141 u0001196 u0000679 u0001642 u0001593,u0002037
BUSN0038,Course BUSN0038,Winter,Undergraduate,On Campus,u0000809 u0001845 u0000818 u0000943 u0000477 u0000879 u0001547 u0001095 u0001584 u0001969 u0000632 u0000267 u0001807 u0001685 u0000613 u0000575 u0000697 u0000571 u0000617 u0000837 u0000238 u0000754 u0000688 u0001109 u0001170 u0001855 u0001304 u0000798 u0000918 u0001846 u0000692 u0001215 u0001997 u0000519 u0001410 u0000810 u0000433 u0000330 u0001068 u0000217 u0000950 u0001610 u0001679 u0001258 u0000503 u0000398 u0001854 u0000162 u0001558 u0001988 u0001637 u0000361 u0000770 u0001065 u0000124 u0000594 u0001279 u0000666 u0000952 u0000591 u0001910 u0001658,u0002038
